product_name,remaining_stock,threshold
iPhone 14,30,6
Sony WH-1000XM5 Headphones,35,7
Redmi Note 13,40,8
Notebook,150,15
File Folder,70,10
Glue Stick,110,12
Stapler,60,8
Samsung Galaxy S23,24,5
Dell Inspiron 15 Laptop,23,5
Daikin 1.5 Ton Split AC,13,3
Pen,179,20
Watch,100,10
Sony Bravia 55 Inch Smart TV,11,3
charger,30,5
Sketch Pen Set,54,5
File Folder,60,10
Apple iPad 10th Gen,21,5
LG Front Load Washing Machine,14,3
School Bags,99,10
Samsung 43 Inch LED TV,19,4
Whirlpool Double Door Refrigerator,17,4
Apple Watch Series 9,23,6
HP Victus Gaming Laptop,15,4
